sep=|
154|-0,000000|-0,000000
155|-0,000000|-0,000000
156|2,000000|2,000001
157|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
158|2,000000|2,000001
159|2,000000|2,000001
160|-0,000000|-2,000001
161|2,000000|0,000000
162|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|2,000001
163|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|2,000001
164|-0,000000|-0,000000
165|0,000000|-2,000001
166|-0,000000|-0,000000
167|-0,000000|-0,000000
168|-2,000000|0,000000
169|-0,000000|0,000000
170|-0,000000|26815634966175138341018763454079346735243326713354690510151519381183274028802297713623841955305331271716450514642400651946412893566673410159358393846857728,000000
171|-0,000000|26815634966175138341018763454079346735243326713354690510151519381183274028802297713623841955305331271716450514642400651946412893566673410159358393846857728,000000
172|-2,000000|0,000000
173|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
174|-2,000000|0,000000
175|-2,000000|0,000000
176|-0,000000|-2,000001
177|0,000000|-26815634963322796366683143431295107728906012158303993276076901785415542804259952040048062684763812724231592343468645363367881873506932982826751851698847744,000000
178|0,000000|-26815634959219928204385057511104813628048852834984840385724088672974262188973511854809981749738447648926908597864559470754965054508922416280363029093154816,000000
179|0,000000|-26815634959219928204385057511104813628048852834984840385724088672974262188973511854809981749738447648926908597864559470754965054508922416280363029093154816,000000
180|-0,000000|-2,000001
181|0,000000|-26815634963322796366683143431295107728906012158303993276076901785415542804259952040048062684763812724231592343468645363367881873506932982826751851698847744,000000
182|-0,000000|-2,000001
183|-0,000000|-2,000001
184|-0,000000|-2,000001
185|-0,000000|-2,000001
186|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
187|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
188|-0,000000|-2,000001
189|0,000000|-2,000001
190|-0,000000|-2,000001
191|-0,000000|-2,000001
192|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
193|-0,000000|-2,000001
194|-0,000000|-26815634952684213746873155997523147932716977272309619901771311614079139252336266361434714354295648357419280819583352366212794827761300580861093802577756160,000000
195|-0,000000|-26815634952684213746873155997523147932716977272309619901771311614079139252336266361434714354295648357419280819583352366212794827761300580861093802577756160,000000
196|-0,000000|-2,000001
197|-0,000000|-2,000001
198|-0,000000|-2,000001
199|-0,000000|-2,000001
200|2,000000|-26815634942285004401331897811199161334144795855827623584601145427664839254357853499754105696412163681836519665389082932986202786771914363279321609409658880,000000
201|0,000000|-26815634959219928204385057511104813628048852834984840385724088672974262188973511854809981749738447648926908597864559470754965054508922416280363029093154816,000000
202|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
203|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
204|2,000000|-26815634942285004401331897811199161334144795855827623584601145427664839254357853499754105696412163681836519665389082932986202786771914363279321609409658880,000000
205|-0,000000|-2,000001
206|2,000000|-26815634942285004401331897811199161334144795855827623584601145427664839254357853499754105696412163681836519665389082932986202786771914363279321609409658880,000000
207|2,000000|-26815634942285004401331897811199161334144795855827623584601145427664839254357853499754105696412163681836519665389082932986202786771914363279321609409658880,000000
208|-2,000000|2,000001
209|-0,000000|-2,000001
210|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-2,000001
211|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-2,000001
212|-0,000000|-0,000000
213|0,000000|-26815634959219928204385057511104813628048852834984840385724088672974262188973511854809981749738447648926908597864559470754965054508922416280363029093154816,000000
214|-0,000000|-0,000000
215|-0,000000|-0,000000
216|-2,000000|2,000001
217|-2,000000|2,000001
218|-2,000000|2,000001
219|-2,000000|2,000001
220|-2,000000|2,000001
221|-2,000000|2,000001
222|-2,000000|2,000001
223|-2,000000|2,000001
224|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
225|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
226|-0,000000|-0,000000
227|-0,000000|-0,000000
228|-0,000000|-0,000000
229|-0,000000|2,000001
230|-0,000000|-0,000000
231|-0,000000|-0,000000
232|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
233|-2,000000|26815634940925169856346763103170503086501967256075455227091864056675584748362594409880490293574266366205339290531216122131277927654668863314348429405061120,000000
234|-0,000000|2,000001
235|-0,000000|2,000001
236|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
237|2,000000|-0,000000
238|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
239|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|-0,000000
240|-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
241|2,000000|-0,000000
242|2,000000|-0,000000
243|2,000000|-0,000000
244|0,000000|0,000000
245|26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192,000000|0,000000
246|0,000000|0,000000
247|0,000000|0,000000
